Timestamp,AccelX,AccelY,AccelZ,Temperature
1393,-0.457,-0.223,9.917,-127.00
1396,-0.460,-0.223,9.917,-127.00
1400,-0.462,-0.218,9.917,-127.00
1404,-0.462,-0.218,9.914,-127.00
1409,-0.455,-0.220,9.922,-127.00
1413,-0.457,-0.223,9.924,-127.00
1417,-0.462,-0.218,9.922,-127.00
1421,-0.460,-0.218,9.919,-127.00
1425,-0.462,-0.218,9.922,-127.00
1428,-0.462,-0.218,9.922,-127.00
1432,-0.462,-0.215,9.922,-127.00
1436,-0.457,-0.223,9.919,-127.00
1440,-0.457,-0.227,9.914,-127.00
1444,-0.462,-0.225,9.914,-127.00
1447,-0.462,-0.225,9.910,-127.00
1451,-0.462,-0.225,9.914,-127.00
1455,-0.462,-0.227,9.917,-127.00
1459,-0.460,-0.225,9.919,-127.00
1463,-0.460,-0.223,9.917,-127.00
1469,-0.462,-0.218,9.912,-127.00
1474,-0.460,-0.218,9.912,-127.00
1477,-0.460,-0.223,9.912,-127.00
1481,-0.462,-0.218,9.914,-127.00
1485,-0.462,-0.215,9.914,-127.00
1489,-0.460,-0.215,9.914,-127.00
1493,-0.460,-0.218,9.919,-127.00
1496,-0.462,-0.215,9.919,-127.00
1500,-0.462,-0.218,9.917,-127.00
1504,-0.462,-0.218,9.919,-127.00
1508,-0.464,-0.220,9.917,-127.00
1512,-0.462,-0.218,9.912,-127.00
1515,-0.460,-0.218,9.910,-127.00
1519,-0.460,-0.215,9.912,-127.00
1523,-0.462,-0.218,9.910,-127.00
1528,-0.457,-0.223,9.914,-127.00
1532,-0.455,-0.223,9.914,-127.00
1536,-0.450,-0.223,9.917,-127.00
1540,-0.448,-0.223,9.912,-127.00
1544,-0.448,-0.227,9.912,-127.00
1547,-0.450,-0.225,9.912,-127.00
1551,-0.450,-0.225,9.907,-127.00
1555,-0.453,-0.223,9.910,-127.00
1559,-0.457,-0.220,9.912,-127.00
1563,-0.462,-0.218,9.917,-127.00
1566,-0.460,-0.215,9.917,-127.00
1570,-0.460,-0.218,9.917,-127.00
1574,-0.457,-0.220,9.919,-127.00
1578,-0.460,-0.218,9.919,-127.00
1582,-0.460,-0.220,9.914,-127.00
1589,-0.460,-0.220,9.912,-127.00
1593,-0.457,-0.223,9.910,-127.00
1596,-0.460,-0.223,9.914,-127.00
1600,-0.460,-0.225,9.917,-127.00
1604,-0.460,-0.223,9.922,-127.00
1608,-0.460,-0.223,9.919,-127.00
1612,-0.460,-0.227,9.917,-127.00
1616,-0.464,-0.227,9.912,-127.00
1619,-0.467,-0.230,9.914,-127.00
1623,-0.464,-0.230,9.914,-127.00
1627,-0.467,-0.230,9.914,-127.00
1631,-0.467,-0.235,9.912,-127.00
1635,-0.467,-0.237,9.917,-127.00
1638,-0.464,-0.237,9.914,-127.00
1642,-0.460,-0.235,9.922,-127.00
1647,-0.460,-0.235,9.914,-127.00
1651,-0.455,-0.235,9.919,-127.00
1655,-0.455,-0.235,9.924,-127.00
1659,-0.453,-0.232,9.924,-127.00
1663,-0.457,-0.232,9.922,-127.00
1666,-0.457,-0.232,9.919,-127.00
1670,-0.457,-0.232,9.919,-127.00
1674,-0.460,-0.235,9.924,-127.00
1678,-0.462,-0.237,9.922,-127.00
1682,-0.460,-0.237,9.924,-127.00
1686,-0.462,-0.237,9.926,-127.00
1689,-0.462,-0.242,9.924,-127.00
1693,-0.460,-0.239,9.929,-127.00
1697,-0.462,-0.237,9.931,-127.00
1701,-0.460,-0.235,9.929,-127.00
1708,-0.464,-0.232,9.924,-127.00
1712,-0.469,-0.230,9.919,-127.00
1716,-0.467,-0.225,9.912,-127.00
1720,-0.467,-0.227,9.907,-127.00
1724,-0.467,-0.225,9.905,-127.00
1728,-0.469,-0.225,9.902,-127.00
1731,-0.469,-0.225,9.912,-127.00
1735,-0.472,-0.225,9.910,-127.00
1739,-0.472,-0.225,9.912,-127.00
1743,-0.472,-0.225,9.917,-127.00
1747,-0.469,-0.223,9.914,-127.00
1750,-0.472,-0.225,9.917,-127.00
1754,-0.472,-0.225,9.922,-127.00
1758,-0.467,-0.225,9.922,-127.00
1762,-0.464,-0.227,9.919,-127.00
1767,-0.462,-0.227,9.924,-127.00
1771,-0.462,-0.235,9.924,-127.00
1775,-0.462,-0.237,9.924,-127.00
1779,-0.460,-0.235,9.922,-127.00
1782,-0.455,-0.237,9.924,-127.00
1786,-0.455,-0.235,9.926,-127.00
1790,-0.460,-0.232,9.926,-127.00
1794,-0.460,-0.235,9.926,-127.00
1798,-0.464,-0.232,9.931,-127.00
1801,-0.460,-0.232,9.926,-127.00
1805,-0.464,-0.232,9.931,-127.00
1809,-0.464,-0.235,9.929,-127.00
1813,-0.462,-0.235,9.931,-127.00
1817,-0.462,-0.235,9.931,-127.00
1820,-0.467,-0.235,9.934,-127.00
1827,-0.464,-0.239,9.938,-127.00
1832,-0.462,-0.237,9.936,-127.00
1835,-0.464,-0.237,9.936,-127.00
1839,-0.469,-0.235,9.934,-127.00
1843,-0.464,-0.237,9.934,-127.00
1847,-0.462,-0.237,9.936,-127.00
1851,-0.464,-0.237,9.936,-127.00
1855,-0.462,-0.242,9.931,-127.00
1858,-0.460,-0.239,9.929,-127.00
1862,-0.460,-0.235,9.929,-127.00
1866,-0.457,-0.237,9.929,-127.00
1870,-0.453,-0.232,9.926,-127.00
1874,-0.450,-0.235,9.919,-127.00
1877,-0.453,-0.232,9.926,-127.00
1881,-0.455,-0.232,9.926,-127.00
1886,-0.455,-0.230,9.924,-127.00
1890,-0.453,-0.232,9.924,-127.00
1894,-0.453,-0.232,9.926,-127.00
1898,-0.457,-0.232,9.926,-127.00
1902,-0.457,-0.230,9.919,-127.00
1905,-0.457,-0.230,9.919,-127.00
1909,-0.457,-0.227,9.922,-127.00
1913,-0.455,-0.232,9.922,-127.00
1917,-0.455,-0.232,9.922,-127.00
1921,-0.453,-0.235,9.924,-127.00
1925,-0.455,-0.237,9.919,-127.00
1928,-0.455,-0.232,9.922,-127.00
1932,-0.457,-0.235,9.924,-127.00
1936,-0.455,-0.237,9.922,-127.00
1940,-0.450,-0.235,9.922,-127.00
1946,-0.450,-0.232,9.917,-127.00
1951,-0.453,-0.232,9.917,-127.00
1955,-0.453,-0.230,9.914,-127.00
1958,-0.453,-0.230,9.912,-127.00
1962,-0.457,-0.232,9.912,-127.00
1966,-0.455,-0.232,9.919,-127.00
1970,-0.460,-0.230,9.919,-127.00
1974,-0.460,-0.230,9.919,-127.00
1977,-0.462,-0.230,9.919,-127.00
1981,-0.464,-0.230,9.919,-127.00
1985,-0.462,-0.230,9.917,-127.00
1989,-0.460,-0.232,9.919,-127.00
1993,-0.455,-0.232,9.919,-127.00
1996,-0.455,-0.232,9.919,-127.00
2000,-0.457,-0.230,9.922,-127.00
2005,-0.457,-0.230,9.924,-127.00
2009,-0.455,-0.227,9.922,-127.00
2013,-0.453,-0.227,9.922,-127.00
2017,-0.455,-0.227,9.924,-127.00
2021,-0.457,-0.227,9.926,-127.00
2025,-0.457,-0.225,9.926,-127.00
2028,-0.460,-0.225,9.924,-127.00
2032,-0.457,-0.223,9.922,-127.00
2036,-0.457,-0.225,9.922,-127.00
2040,-0.457,-0.225,9.922,-127.00
2044,-0.460,-0.225,9.924,-127.00
2047,-0.457,-0.227,9.929,-127.00
2051,-0.455,-0.227,9.926,-127.00
2055,-0.460,-0.230,9.931,-127.00
2059,-0.460,-0.230,9.931,-127.00
2065,-0.464,-0.227,9.926,-127.00
2070,-0.462,-0.227,9.922,-127.00
2074,-0.462,-0.223,9.919,-127.00
2077,-0.460,-0.218,9.919,-127.00
2081,-0.457,-0.218,9.919,-127.00
2085,-0.455,-0.215,9.917,-127.00
2089,-0.457,-0.215,9.914,-127.00
2093,-0.460,-0.218,9.912,-127.00
2096,-0.457,-0.220,9.910,-127.00
2100,-0.455,-0.225,9.914,-127.00
2104,-0.457,-0.223,9.917,-127.00
2108,-0.457,-0.220,9.917,-127.00
2112,-0.457,-0.225,9.917,-127.00
2115,-0.460,-0.230,9.917,-127.00
2119,-0.457,-0.232,9.917,-127.00
2124,-0.460,-0.230,9.917,-127.00
2128,-0.460,-0.230,9.907,-127.00
2132,-0.457,-0.230,9.900,-127.00
2136,-0.460,-0.227,9.907,-127.00
2140,-0.462,-0.230,9.914,-127.00
2144,-0.460,-0.230,9.917,-127.00
2147,-0.457,-0.227,9.919,-127.00
2151,-0.457,-0.227,9.922,-127.00
2155,-0.460,-0.232,9.922,-127.00
2159,-0.460,-0.232,9.917,-127.00
2163,-0.462,-0.230,9.912,-127.00
2166,-0.462,-0.230,9.914,-127.00
2170,-0.467,-0.227,9.912,-127.00
2174,-0.464,-0.232,9.910,-127.00
2178,-0.467,-0.235,9.910,-127.00
2184,-0.464,-0.237,9.914,-127.00
2189,-0.462,-0.242,9.914,-127.00
2193,-0.462,-0.239,9.910,-127.00
2196,-0.462,-0.239,9.912,-127.00
2200,-0.467,-0.239,9.914,-127.00
2204,-0.469,-0.235,9.905,-127.00
2208,-0.472,-0.237,9.910,-127.00
2212,-0.472,-0.237,9.917,-127.00
